movie_id,Year,Actor,Film,Winner
tt0217505,2002,Daniel Day-Lewis,Gangs of New York,False
,2002,Jack Nicholson,About Schmidt,False
tt0327056,2003,Sean Penn,Mystic River,True
,2003,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False
,2003,Ben Kingsley,House of Sand and Fog,False
,2003,Jude Law,Cold Mountain,False
tt0335266,2003,Bill Murray,Lost in Translation,False
tt0350258,2004,Jamie Foxx,Ray,True
,2004,Don Cheadle,Hotel Rwanda,False
tt0308644,2004,Johnny Depp,Finding Neverland,False
tt0338751,2004,Leonardo DiCaprio,The Aviator,False
tt0405159,2004,Clint Eastwood,Million Dollar Baby,False
tt0379725,2005,Philip Seymour Hoffman,Capote,True
,2005,Terrence Howard,Hustle & Flow,False
tt0388795,2005,Heath Ledger,Brokeback Mountain,False
,2005,Joaquin Phoenix,Walk the Line,False
tt0433383,2005,David Strathairn,"Good Night, and Good Luck.",False
,2006,Forest Whitaker,The Last King of Scotland,True
,2006,Leonardo DiCaprio,Blood Diamond,False
,2006,Ryan Gosling,Half Nelson,False
,2006,Peter O'Toole,Venus,False
,2006,Will Smith,The Pursuit of Happyness,False
tt0469494,2007,Daniel Day-Lewis,There Will Be Blood,True
tt0465538,2007,George Clooney,Michael Clayton,False
,2007,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,False
,2007,Tommy Lee Jones,In the Valley of Elah,False
,2007,Viggo Mortensen,Eastern Promises,False
tt1013753,2008,Sean Penn,Milk,True
,2008,Richard Jenkins,The Visitor,False
tt0870111,2008,Frank Langella,Frost/Nixon,False
tt0421715,2008,Brad Pitt,The Curious Case of Benjamin Button,False
,2008,Mickey Rourke,The Wrestler,False
,2009,Jeff Bridges,Crazy Heart,True
tt1193138,2009,George Clooney,Up in the Air,False
,2009,Colin Firth,A Single Man,False
,2009,Morgan Freeman,Invictus,False
,2009,Jeremy Renner,The Hurt Locker,False
tt1504320,2010,Colin Firth,The King's Speech,True
,2010,Javier Bardem,Biutiful,False
tt1403865,2010,Jeff Bridges,True Grit,False
tt1285016,2010,Jesse Eisenberg,The Social Network,False
tt1542344,2010,James Franco,127 Hours,False
tt1655442,2011,Jean Dujardin,The Artist,True
,2011,Demian Bichir,A Better Life,False
tt1033575,2011,George Clooney,The Descendants,False
,2011,Gary Oldman,Tinker Tailor Soldier Spy,False
tt1210166,2011,Brad Pitt,Moneyball,False
tt0443272,2012,Daniel Day-Lewis,Lincoln,True
tt1045658,2012,Bradley Cooper,Silver Linings Playbook,False
,2012,Hugh Jackman,Les Miserables,False
,2012,Joaquin Phoenix,The Master,False
,2012,Denzel Washington,Flight,False
tt0790636,2013,Matthew McConaughey,Dallas Buyers Club,True
tt1800241,2013,Christian Bale,American Hustle,False
tt1821549,2013,Bruce Dern,Nebraska,False
tt0993846,2013,Leonardo DiCaprio,The Wolf of Wall Street,False
tt2024544,2013,Chiwetel Ejiofor,12 Years a Slave,False
tt2980516,2014,Eddie Redmayne,The Theory of Everything,True
,2014,Steve Carell,Foxcatcher,False
tt2179136,2014,Bradley Cooper,American Sniper,False
tt2084970,2014,Benedict Cumberbatch,The Imitation Game,False
,2014,Michael Keaton,Birdman,False
tt1663202,2015,Leonardo DiCaprio,The Revenant,True
,2015,Bryan Cranston,Trumbo,False
tt3659388,2015,Matt Damon,The Martian,False
,2015,Michael Fassbender,Steve Jobs,False
,2015,Eddie Redmayne,The Danish Girl,False
tt4034228,2016,Casey Affleck,Manchester by the Sea,True
tt2119532,2016,Andrew Garfield,Hacksaw Ridge,False
tt3783958,2016,Ryan Gosling,La La Land,False
,2016,Viggo Mortensen,Captain Fantastic,False
tt2671706,2016,Denzel Washington,Fences,False
tt4555426,2017,Gary Oldman,Darkest Hour,True
tt5726616,2017,Timothee Chalamet,Call Me by Your Name,False
,2017,Daniel Day-Lewis,Phantom Thread,False
tt5052448,2017,Daniel Kaluuya,Get Out,False
,2017,Denzel Washington,"Roman J. Israel, Esq.",False
tt1727824,2018,Rami Malek,Bohemian Rhapsody,True
tt6266538,2018,Christian Bale,Vice,False
tt1517451,2018,Bradley Cooper,A Star Is Born,False
,2018,Willem Dafoe,At Eternity's Gate,False
tt6966692,2018,Viggo Mortensen,Green Book,False
tt7286456,2019,Joaquin Phoenix,Joker,True
,2019,Antonio Banderas,Pain and Glory,False
,2019,Leonardo DiCaprio,Once Upon a Time in Hollywood,False
tt7653254,2019,Adam Driver,Marriage Story,False
,2019,Jonathan Pryce,The Two Popes,False
tt15398776,2023,Cillian Murphy,Oppenheimer,True
tt5535276,2023,Bradley Cooper,Maestro,False
,2023,Colman Domingo,Rustin,False
tt14849194,2023,Paul Giamatti,The Holdovers,False
tt23561236,2023,Jeffrey Wright,American Fiction,False
tt8999762,2024,Adrien Brody,The Brutalist,True
tt11563598,2024,Timothee Chalamet,A Complete Unknown,False
,2024,Colman Domingo,Sing Sing,False
tt20215234,2024,Ralph Fiennes,Conclave,False
,2024,Sebastian Stan,The Apprentice,False
